PeahenID,DS_Value,Rank,Weight,lum.avg.side,hueUV.avg.side,hueRGB.avg.side,chroma.avg.side,lum.avg.back,hueUV.avg.back,hueRGB.avg.back,chroma.avg.back,lum.avg.front,hueUV.avg.front,hueRGB.avg.front,chroma.avg.front,lum.avg.pooled,hueUV.avg.pooled,hueRGB.avg.pooled,chroma.avg.pooled,hueUV.avg.back.side,lum.avg.back.side
P10,-40.251,15,4100,0.064679859,-0.730685296,1.786887549,0.331461995,0.067513617,-0.871988935,0.922933904,0.332411975,0.040063355,-0.666570763,2.36439068,0.298269872,0.059234172,-0.749982572,1.71527492,0.323401459,-0.801337116,0.066096738
P11,59.2252,9,4135,0.075651403,-0.702172617,1.597099771,0.385906126,0.094715479,-0.905642514,0.903450207,0.377548624,0.040539488,-0.571316295,2.328492784,0.228761127,0.071639443,-0.720326011,1.606535634,0.344530501,-0.803907566,0.085183441
P13,-227.701,24,3730,0.05433911,-0.806899958,1.494524115,0.425415305,0.068793799,-0.857627417,1.299855868,0.406694181,0.054148555,-0.738781505,1.667789566,0.344350429,0.057905143,-0.80255221,1.489173416,0.400468805,-0.832263688,0.061566455
P15,-86.251,18,3835,0.061903538,-0.802011578,1.214599476,0.315562019,0.08638318,-0.93120097,1.349829248,0.353764795,0.032648142,-0.555503997,1.256240526,0.250953408,0.060709599,-0.772682031,1.258817182,0.30896056,-0.866606274,0.074143359
P18,-180.251,23,4435,0.032718423,-0.62870274,0.873710592,0.186132236,0.041483763,-0.501523038,0.630513919,0.349208911,0.027905002,-1.023586699,0.915266246,0.175667193,0.033368256,-0.704068185,0.831682355,0.218853676,-0.565112889,0.037101093
P19,-26.001,14,4220,0.062712909,-0.856650242,1.540693563,0.278148155,0.0616263,-0.907006821,1.846834613,0.288588928,0.062224616,-0.743649,1.800154542,0.374144444,0.062319184,-0.840989076,1.68209407,0.30475742,-0.881828532,0.062169605
P22,-235.501,25,3910,0.071093595,-0.623218274,2.004077074,0.382984743,0.081995281,-0.787868903,1.773881894,0.35782775,0.060205343,-0.562624945,2.017026937,0.38599563,0.071096954,-0.649232599,1.949765745,0.377448216,-0.705543589,0.076544438
P23,-21.2618,12,3510,0.064792882,-0.85288159,1.631438621,0.311862601,0.038019537,-0.853263853,0.525518462,0.198274203,0.0393874,-0.702877609,1.252609034,0.249099073,0.051748175,-0.815476161,1.260251185,0.267774619,-0.853072722,0.05140621
P24,-61.11,17,4510,0.095771038,-0.678912134,2.129111005,0.418625005,0.103539468,-0.662538896,2.147149469,0.458609701,0.072268361,-0.575031251,2.39614321,0.404734803,0.091837476,-0.648848603,2.200378672,0.425148628,-0.670725515,0.099655253
P25,174.1529,4,3720,0.04300394,-0.865725385,0.15208067,0.160973529,0.051299846,-1.058412433,0.670965253,0.232834196,0.025338541,-1.210688717,1.081748935,0.179349657,0.040661567,-1.00013798,0.514218882,0.183532728,-0.962068909,0.047151893
